epoch,train_loss,val_loss,epoch_time_s
1,6.826797972785102,5.963873863220215,11.79130482673645
2,5.982053830888536,5.752758026123047,11.555041551589966
3,5.661379199557834,5.454949855804443,11.537600040435791
4,5.315677981906467,5.2190022468566895,11.797876358032227
5,5.007307942708334,5.042924880981445,11.224935293197632
6,4.75007537206014,4.907840251922607,11.317548274993896
7,4.535365072886149,4.803350925445557,11.636231422424316
8,4.347504997253418,4.748610019683838,11.729883670806885
9,4.184239864349365,4.692501068115234,11.445529460906982
10,4.0376867612202965,4.646821975708008,11.506064176559448
11,3.9018704573313396,4.630698204040527,11.854204893112183
12,3.7714857419331866,4.631801128387451,11.607759237289429
13,3.6545286496480305,4.59065580368042,11.59850025177002
14,3.5366354200575087,4.599832534790039,11.833981037139893
15,3.4217567655775283,4.613037109375,11.423553466796875
16,3.3117247263590497,4.612827777862549,11.476775884628296
17,3.203575044208103,4.607930660247803,11.52915096282959
18,3.0966147316826715,4.633540153503418,11.335395812988281
19,2.9947780238257513,4.64087438583374,11.17267894744873
20,2.895385408401489,4.658717155456543,11.869171380996704
