Metric,Baseline,Proposed
ROUGE-1,0.2802977599709068,0.259725918445607
ROUGE-2,0.061378558559756234,0.047913876545442
ROUGE-L,0.19281476223412686,0.18136854410903366
Flesch Reading Ease,55.94946004824312,58.54235849936885
FKGL,8.174061111605706,7.833761779113516
GloVe cosine sim (vs reference),0.9586781819661458,0.9572957172989845
Numeric-overlap count (of 84 refs w/ numbers),5.0,4.0
