epoch,train_loss,val_loss,epoch_time_s
1,6.921373187171088,5.916952133178711,12.915498733520508
2,5.875151613023546,5.636890411376953,11.57704782485962
3,5.51822714275784,5.403907775878906,11.449136972427368
4,5.2089116838243275,5.225282192230225,11.11158013343811
5,4.946045388115777,5.134870529174805,11.683909177780151
6,4.718335639105903,5.035804748535156,11.98917269706726
7,4.521076096428765,4.95946741104126,11.557581663131714
8,4.341399987538655,4.895699501037598,11.616535902023315
9,4.177792236540053,4.8816609382629395,11.645816564559937
10,4.024850675794814,4.805451393127441,11.54591178894043
11,3.883872699737549,4.789304256439209,11.955477476119995
12,3.745422681172689,4.769693851470947,11.84740161895752
13,3.6144094679090712,4.758837699890137,11.670857906341553
14,3.4883417235480416,4.744986057281494,11.31508493423462
15,3.369334597057766,4.763646125793457,11.567763328552246
16,3.2527997334798178,4.757195472717285,11.702481985092163
17,3.140228271484375,4.767205238342285,11.351000308990479
18,3.030553838941786,4.7765936851501465,11.80060887336731
19,2.9242504172854953,4.802341938018799,11.211918592453003
20,2.8223925166659884,4.7802228927612305,11.696601390838623
